read_name	read_strand	read_start	read_seg_length	chr	chr_strand	chr_start	chr_seg_length	sample_id
merge21-4	1	15179	326	chrX	1	66747347	326	01-20985
merge22-3	1	49088	317	chr3	1	52675833	317	01-20985
merge27-12	-1	37753	307	chr1	1	218612586	307	01-20985
merge16-8	-1	35919	223	chr10	1	21120269	217	01-20985
merge38-12	1	37222	92	chrX	1	114982105	96	01-20985
merge44-11	-1	39167	289	chr5	1	51289713	289	01-20985
merge51-4	-1	24447	301	chr4	1	81070375	301	01-20985
merge54-10	1	30700	86	chr10	1	77266016	83	01-20985
merge56-3	-1	11773	44	chr5	1	124588834	42	01-20985
merge56-3	-1	11709	60	chr17	1	65821481	60	01-20985
merge56-3	-1	11626	35	chr8	1	40742348	35	01-20985
merge56-3	-1	1332	34	chr14	1	70710709	36	01-20985
merge58-10	-1	25478	51	chrX	1	140415835	51	01-20985
merge42-11	1	36573	307	chr2	1	150640510	307	01-20985
merge68-9	1	0	82	chr2	1	4165006	80	01-20985
merge68-9	-1	75129	167	chr2	1	4157678	166	01-20985
merge68-9	1	32997	309	chr17	1	32109731	309	01-20985
merge64-9	1	40155	219	chr11	1	25335358	219	01-20985
merge71-4	1	28735	297	chr2	1	88861258	298	01-20985
merge20-13	1	31823	318	chr3	1	52675832	318	01-20985
merge79-8	-1	6065	299	chr2	1	38844346	299	01-20985
merge75-9	1	51520	309	chr9	1	38095863	309	01-20985
merge77-8	1	26514	313	chr1	1	59288815	313	01-20985
merge88-8	1	30462	311	chr20	1	55109681	311	01-20985
merge86-8	-1	26145	309	chr2	1	66150724	308	01-20985
merge85-8	1	35929	66	chr4	1	173624062	66	01-20985
merge48-11	-1	35019	306	chr15	1	79599514	306	01-20985
merge46-11	1	4	554	chr20	1	50739390	546	01-20985
merge46-11	1	36506	309	chr20	1	50775641	326	01-20985
merge46-11	1	36815	106	chr20	1	50775726	107	01-20985
merge60-10	1	48422	308	chr7	1	4768123	308	01-20985
merge93-7	1	12193	306	chr5	1	25314535	306	01-20985
merge102-3	1	17286	141	chr7	1	23231798	141	01-20985
merge98-7	-1	35912	46	chr3	1	18827207	46	01-20985
merge98-7	1	51875	55	chr19	1	37880982	56	01-20985
merge98-7	-1	35649	197	chr3	1	18827081	172	01-20985
merge98-7	-1	35496	150	chr3	1	18826616	150	01-20985
merge53-10	1	67245	40	chr1	1	178788841	40	01-20985
merge53-10	1	67285	751	chr1	1	52255969	753	01-20985
merge53-10	1	68036	40	chr1	1	52258368	40	01-20985
merge103-7	1	40708	57	chr4	1	148783539	57	01-20985
merge94-7	-1	30110	310	chr10	1	55695569	310	01-20985
merge101-7	1	47532	76	chr2	1	212015033	76	01-20985
merge109-5	-1	12865	311	chr13	1	69462276	311	01-20985
merge109-5	1	33026	161	chr5	1	173198792	145	01-20985
merge104-7	-1	30531	46	chr13	1	30374708	46	01-20985
merge78-8	-1	19618	36	chr18	1	41727887	36	01-20985
merge126-7	-1	21387	311	chr3	1	34755563	311	01-20985
merge123-7	1	39056	312	chr13	1	57401403	312	01-20985
merge127-4	-1	19369	32	chr13	1	69505532	32	01-20985
merge118-7	1	66075	54	chr21	1	6002815	54	01-20985
merge122-7	1	13760	322	chr2	1	193533783	322	01-20985
merge124-7	1	20086	48	chr4	1	24547904	48	01-20985
merge116-3	-1	17289	49	chr2	1	214751078	49	01-20985
merge107-4	1	12564	76	chr1	1	234390764	76	01-20985
merge129-7	-1	28337	31	chr4	1	10370238	31	01-20985
merge106-5	1	35168	43	chr7	1	148346660	43	01-20985
merge134-7	-1	23808	306	chr15	1	66341486	306	01-20985
merge112-4	1	26997	318	chr13	1	63082059	318	01-20985
merge132-3	-1	2632	316	chr13	1	46145626	316	01-20985
merge114-7	-1	39981	38	chr6	1	150701411	38	01-20985
merge117-7	-1	59837	68	chr4	1	74560927	66	01-20985
merge143-3	-1	10436	223	chr4	1	124239105	223	01-20985
merge142-6	1	48312	231	chr5	1	96007708	231	01-20985
merge108-7	1	15498	312	chr13	1	69462273	312	01-20985
merge146-6	1	38062	61	chr2	1	169364607	61	01-20985
merge139-6	-1	31362	44	chr13	1	57797387	44	01-20985
merge139-6	-1	31274	88	chr1	1	222936709	92	01-20985
merge100-7	-1	25509	108	chr7	1	23231843	108	01-20985
merge141-6	-1	53615	302	chr1	1	157946810	302	01-20985
merge125-7	-1	14985	112	chr5	1	80301388	113	01-20985
merge144-3	-1	12454	313	chr5	1	96007623	313	01-20985
merge159-6	1	17668	314	chr13	1	101709082	314	01-20985
merge158-6	1	26192	58	chr13	1	19191987	58	01-20985
merge121-7	1	26567	162	chr19	1	19691070	162	01-20985
merge161-4	-1	1883	329	chr14	1	78361902	329	01-20985
merge166-6	1	32384	297	chr17	1	71856013	297	01-20985
merge128-7	1	46599	143	chr3	1	146940880	143	01-20985
merge145-6	-1	30575	297	chr11	1	68291610	297	01-20985
merge171-3	-1	35379	45	chr22	1	42037833	45	01-20985
merge176-3	1	9461	305	chrX	1	127508759	305	01-20985
merge119-3	1	52841	122	chr20	1	17081243	122	01-20985
merge160-6	1	45294	341	chr14	1	78361898	341	01-20985
merge147-6	-1	22231	299	chr20	1	7293699	299	01-20985
merge175-3	1	49506	306	chr18	1	21144852	306	01-20985
merge173-6	1	44266	313	chr4	1	68120380	313	01-20985
merge183-6	-1	27876	309	chr6	1	141796221	309	01-20985
merge192-5	1	22333	317	chr11	1	25542940	317	01-20985
merge190-5	1	22764	313	chr5	1	25314528	313	01-20985
merge196-5	1	17588	85	chr5	1	126739597	85	01-20985
merge187-5	1	40120	64	chr12	1	41075690	64	01-20985
merge194-5	-1	36985	37	chr4	1	70622917	37	01-20985
merge194-5	1	14572	106	chr10	1	19530320	95	01-20985
merge194-5	1	14678	82	chr10	1	19530334	82	01-20985
merge197-5	-1	22921	315	chr11	1	49403542	315	01-20985
merge193-5	1	42695	66	chr17	1	40701723	66	01-20985
merge201-5	1	12087	46	chrX	1	106788616	46	01-20985
merge201-5	1	12140	822	chrX	1	106788705	824	01-20985
merge201-5	1	12964	43	chrX	1	106789453	43	01-20985
merge203-5	-1	27574	52	chr3	1	49984611	52	01-20985
merge203-5	-1	27532	42	chr3	1	49984614	42	01-20985
merge203-5	1	15970	71	chr9	1	18603342	71	01-20985
merge211-3	-1	21361	74	chr4	1	136938520	74	01-20985
merge163-6	1	40998	82	chr7	1	47389002	82	01-20985
merge204-5	1	25066	302	chr12	1	47873358	302	01-20985
merge188-5	-1	37295	56	chr10	1	65087539	56	01-20985
merge213-5	-1	18397	278	chr14	1	46966755	276	01-20985
merge213-5	-1	18089	308	chr8	1	81085972	308	01-20985
merge214-3	1	21282	310	chr15	1	88513790	310	01-20985
merge214-3	1	21594	268	chr14	1	46966760	271	01-20985
merge217-5	1	11404	56	chr7	1	33941089	56	01-20985
merge219-5	-1	20616	58	chr20	1	9307488	58	01-20985
merge202-5	-1	15337	38	chr11	1	78346668	38	01-20985
merge182-6	-1	38094	88	chr6	1	95164821	89	01-20985
merge182-6	-1	38040	54	chr5	1	62598408	54	01-20985
merge220-5	1	19749	454	chr4	1	128043830	457	01-20985
merge220-5	1	20208	193	chr6	1	74155727	193	01-20985
merge169-6	1	43592	57	chr20	1	59967815	57	01-20985
merge218-5	-1	40111	50	chr20	1	9307488	50	01-20985
merge228-5	1	12944	93	chr3	1	97716504	93	01-20985
merge215-5	-1	19411	55	chr6	1	77270330	55	01-20985
merge208-3	-1	10809	311	chr20	1	55888170	311	01-20985
merge206-3	-1	3556	308	chr12	1	62838639	308	01-20985
merge207-4	1	6247	312	chr3	1	26745228	312	01-20985
merge237-3	1	12632	312	chr18	1	58134362	311	01-20985
merge191-5	-1	32764	56	chr5	1	33329798	57	01-20985
merge230-3	-1	9545	307	chr3	1	123517911	307	01-20985
merge234-3	1	14148	298	chr5	1	152816046	298	01-20985
